word,emotion
bad,disgust
bad,fear
bad,sadness
badge,trust
badger,anger
badly,sadness
badness,anger
badness,disgust
badness,fear
bailiff,fear
bailiff,trust
bait,fear
bait,trust
bale,fear
ballot,anticipation
ballot,trust
balm,anticipation
balm,joy
bane,anger
bane,disgust
bane,fear
bang,anger
bang,disgust
bang,fear
bang,sadness
bang,surprise
banger,anger
banger,anticipation
banger,fear
banger,surprise
banish,anger
banish,disgust
banish,fear
banish,sadness
banished,anger
banished,fear
banished,sadness
banishment,anger
banishment,disgust
banishment,sadness
bank,trust
banker,trust
bankrupt,fear
bankrupt,sadness
bankruptcy,anger
bankruptcy,disgust
bankruptcy,fear
bankruptcy,sadness
banquet,anticipation
banquet,joy
banshee,anger
banshee,disgust
banshee,fear
banshee,sadness
baptismal,joy
barb,anger
barbarian,fear
barbaric,anger
barbaric,disgust
barbaric,fear
barf,disgust
bargain,trust
bark,anger
barren,sadness
barricade,fear
barrier,anger
barrow,disgust
bartender,trust
barter,trust
base,trust
basketball,anticipation
basketball,joy
bastard,disgust
bastard,sadness
bastion,anger
battalion,anger
batter,anger
batter,fear
battered,fear
battered,sadness
battery,anger
battle,anger
battled,anger
battled,fear
battled,sadness
battlefield,fear
bayonet,anger
bayonet,fear
beach,joy
beam,joy
beaming,anticipation
beaming,joy
bear,anger
bear,fear
bearish,anger
bearish,fear
beast,anger
beast,fear
beastly,disgust
beastly,fear
beating,anger
beating,fear
beating,sadness
beautification,joy
beautification,trust
beautiful,joy
beautify,joy
beauty,joy
bedrock,trust
bee,anger
bee,fear
beer,joy
befriend,joy
befriend,trust
beg,sadness
beggar,sadness
begun,anticipation
behemoth,fear
believed,trust
believer,trust
believing,trust
belittle,anger
belittle,disgust
belittle,fear
belittle,sadness
belligerent,anger
belligerent,fear
bellows,anger
belt,anger
belt,fear
benefactor,trust
benevolence,joy
benevolence,trust
benign,joy
bequest,trust
bereaved,sadness
bereavement,sadness
berserk,anger
bestial,disgust
bestial,fear
betray,anger
betray,disgust
betray,sadness
betray,surprise
betrayal,anger
betrayal,disgust
betrayal,sadness
betrothed,anticipation
betrothed,joy
betrothed,trust
beware,anticipation
beware,fear
bewildered,fear
bewildered,surprise
bewilderment,fear
bewilderment,surprise
bias,anger
bickering,anger
bickering,disgust
biennial,anticipation
bier,fear
bier,sadness
bigot,anger
bigot,disgust
bigot,fear
bigoted,anger
bigoted,disgust
bigoted,fear
